source,target,elev_diff
1,0,3.1
2,1,1.7
3,2,3.1
4,3,0.6
4,5,3.1
5,6,1.3
7,6,9.8
7,29,2.3
7,30,1.7
8,7,11.1
8,30,12.8
8,31,2.3
9,8,5.9
9,31,8.3
10,9,4.8
10,11,0.7
12,11,16.6
12,34,6.6
13,12,44.5
13,35,39.7
14,13,145.8
14,36,94.8
15,14,170.2
16,15,565.2
17,16,263.8
18,17,749.1
18,40,440.3
19,18,282.5
19,20,834.4
19,42,34.4
19,43,306.7
21,20,196.6
21,22,1090.4
21,45,754.1
23,0,5.5
23,1,2.4
24,0,9.3
24,1,6.2
24,2,4.5
24,23,3.9
25,1,9.2
25,2,7.5
25,3,4.4
25,24,3.0
26,2,9.8
26,3,6.7
26,4,6.1
26,25,2.3
27,3,9.0
27,4,8.4
27,5,11.5
27,26,2.3
27,28,4.9
28,4,3.5
28,5,6.6
28,6,7.9
28,29,0.4
29,5,6.2
29,6,7.5
30,6,8.1
30,29,0.7
31,7,8.8
31,30,10.5
32,8,13.4
32,9,7.5
32,10,2.7
32,31,15.8
32,54,15.6
32,55,6.8
32,56,0.5
33,9,14.5
33,10,9.7
33,11,10.4
33,32,7.0
33,34,0.5
33,55,13.8
33,56,7.5
34,10,9.2
34,11,9.9
34,56,7.0
35,11,21.4
35,12,4.8
35,34,11.5
35,57,4.6
36,12,95.5
36,13,51.0
36,35,90.7
36,58,66.7
37,13,367.7
37,14,221.9
37,15,51.7
37,36,316.7
37,59,176.3
38,14,789.2
38,15,619.0
38,16,53.7
38,37,567.3
38,60,353.7
39,15,1133.4
39,16,568.1
39,17,304.3
39,38,514.4
40,16,572.6
40,17,308.8
40,39,4.5
41,17,1155.9
41,18,406.7
41,19,124.2
41,40,847.0
41,42,158.6
41,63,750.0
42,18,248.1
42,20,800.0
42,43,272.3
43,20,527.7
43,21,331.1
44,20,1081.7
44,21,885.1
44,22,1975.5
44,43,554.0
44,45,1639.2
44,68,1408.7
45,22,336.3
46,23,4.5
46,24,0.7
47,23,10.5
47,24,6.7
47,25,3.7
47,46,6.0
47,69,1.2
48,24,10.2
48,25,7.2
48,26,4.9
48,47,3.6
49,25,11.0
49,26,8.7
49,27,6.4
49,48,3.8
50,26,10.3
50,27,8.0
50,28,12.9
50,49,1.6
50,51,4.7
51,27,3.3
51,28,8.2
51,29,8.6
52,28,10.1
52,29,10.5
52,30,9.9
52,51,1.9
53,29,14.2
53,30,13.5
53,31,3.1
53,52,3.7
53,54,2.9
54,30,10.7
54,31,0.2
55,31,9.0
55,54,8.8
56,55,6.3
57,33,6.3
57,34,6.8
57,56,13.8
58,34,35.5
58,35,24.0
58,57,28.6
59,35,231.1
59,36,140.4
59,58,207.1
59,81,76.5
60,36,530.3
60,37,213.6
60,59,389.9
60,82,344.1
61,37,1411.9
61,38,844.6
61,39,330.2
61,60,1198.3
61,83,820.3
62,38,1312.8
62,39,798.4
62,40,793.9
62,61,468.2
62,63,696.9
62,85,76.8
62,86,655.2
63,39,101.5
63,40,97.0
64,40,1109.0
64,41,262.0
64,42,420.6
64,63,1012.0
64,86,970.3
64,87,637.4
64,88,57.9
65,41,447.2
65,42,605.8
65,43,878.1
65,64,185.2
65,87,822.6
65,88,243.2
66,42,1046.3
66,43,1318.6
66,44,764.7
66,65,440.5
66,88,683.7
66,89,115.8
67,43,1441.6
67,44,887.6
67,45,2526.8
67,66,123.0
67,68,2296.4
67,89,238.7
67,91,2096.5
68,45,230.4
69,46,4.8
70,46,12.5
70,47,6.5
70,48,2.9
70,69,7.7
70,92,4.1
71,47,11.1
71,48,7.5
71,49,3.7
71,70,4.6
72,48,12.4
72,49,8.6
72,50,7.1
72,71,4.9
73,49,11.0
73,50,9.4
73,51,14.1
73,72,2.4
73,74,5.9
74,50,3.6
74,51,8.3
74,52,6.4
75,51,10.4
75,52,8.5
75,53,4.8
75,74,2.2
76,52,8.6
76,53,4.9
76,54,7.8
76,75,0.1
77,53,21.0
77,54,23.8
77,55,15.1
77,76,16.1
78,54,49.1
78,55,40.3
78,56,34.0
78,77,25.3
79,55,88.1
79,56,81.8
79,57,68.0
79,78,47.8
79,80,10.1
80,56,71.7
80,57,57.9
80,58,29.2
81,57,159.2
81,58,130.6
81,80,101.4
82,58,252.9
82,59,45.8
82,81,122.3
83,59,767.9
83,60,378.0
83,82,722.1
83,105,155.7
84,60,1776.2
84,61,577.9
84,62,109.7
84,83,1398.2
84,85,186.5
84,106,1354.6
84,107,290.6
85,61,391.4
85,63,620.1
85,86,578.5
85,107,104.1
86,63,41.7
87,63,374.6
87,86,332.9
88,87,579.5
89,65,324.8
89,88,567.9
90,66,651.3
90,67,528.3
90,68,2824.7
90,89,767.1
90,91,2624.8
90,114,2242.4
91,68,199.9
92,69,3.6
93,69,13.3
93,70,5.6
93,71,1.0
93,92,9.7
93,115,8.4
94,70,11.8
94,71,7.2
94,72,2.2
94,93,6.1
94,116,0.4
95,71,12.7
95,72,7.8
95,73,5.4
95,94,5.6
96,72,11.7
96,73,9.3
96,74,15.2
96,95,3.9
96,97,8.9
96,120,2.2
97,73,0.4
97,74,6.3
97,75,4.1
98,74,10.0
98,75,7.9
98,76,7.8
98,97,3.8
99,75,26.3
99,76,26.2
99,77,10.1
99,98,18.4
100,76,93.7
100,77,77.7
100,78,52.4
100,99,67.5
101,77,216.2
101,78,190.9
101,79,143.2
101,100,138.5
101,123,32.7
102,78,235.9
102,79,188.1
102,80,198.2
102,101,45.0
102,103,57.8
103,79,130.4
103,80,140.5
103,81,39.1
104,80,300.0
104,81,198.6
104,82,76.3
104,103,159.5
104,126,31.5
105,81,688.7
105,82,566.4
105,104,490.1
106,82,765.7
106,83,43.6
106,105,199.3
107,83,1107.6
107,106,1064.0
107,129,527.3
107,130,286.1
108,84,44.9
108,85,231.4
108,86,809.8
108,107,335.5
108,130,621.6
109,85,437.0
109,86,1015.4
109,87,682.5
109,108,205.6
110,86,1148.7
110,87,815.7
110,88,236.3
110,109,133.3
111,87,1613.2
111,88,1033.8
111,89,465.9
111,110,797.5
111,133,384.3
112,88,1477.4
112,89,909.5
112,90,142.4
112,111,443.6
113,89,1110.0
113,90,342.9
113,91,2967.7
113,112,200.5
113,114,2585.3
113,137,2566.2
114,91,382.4
115,92,1.3
116,92,15.4
116,93,5.7
116,115,14.2
116,138,13.7
117,93,13.0
117,94,6.9
117,95,1.3
117,116,7.3
117,139,4.1
118,94,13.6
118,95,8.0
118,96,4.2
118,117,6.7
118,140,2.5
119,95,12.5
119,96,8.7
119,97,17.6
119,118,4.5
119,120,10.9
120,97,6.7
120,98,2.9
121,97,25.4
121,98,21.7
121,99,3.3
121,120,18.7
122,98,155.8
122,99,137.4
122,100,69.8
122,121,134.1
122,144,48.4
122,145,14.0
123,99,173.4
123,100,105.8
123,122,36.0
