watershed_id,mean_elevation,mean_slope,mean_aspect,mean_plan_curvature,mean_profile_curvature,mean_twi,mean_spi,mean_tri,mean_distance_to_river,mean_rainfall_mean,mean_lulc,mean_soil_clay
0,210.48133850097656,0.7893090844154358,184.1602325439453,4.447815808816813e-05,5.610365292341157e-07,9.559205055236816,104.99276733398438,0.2813117504119873,959.0552978515625,,39.08639144897461,
1,213.58822631835938,0.7761331796646118,184.35337829589844,3.24585780617781e-05,-3.2368217944167554e-05,9.527778625488281,89.42477416992188,0.2020186483860016,767.2381591796875,,38.25334548950195,
2,215.3257293701172,0.5950216054916382,185.62806701660156,2.597504499135539e-05,-2.5996716431109235e-05,9.709959030151367,95.59284973144531,0.1583784818649292,796.5777587890625,,39.65519332885742,
3,218.4020538330078,0.4868464469909668,186.72891235351562,2.2775762772653252e-05,-2.295842205057852e-05,9.887894630432129,52.382450103759766,0.1383000910282135,878.7877807617188,,39.82952880859375,
4,219.0346221923828,0.5087372660636902,189.36575317382812,2.2523916413774714e-05,-2.2413003534893505e-05,9.876012802124023,65.67150115966797,0.13513880968093872,768.635498046875,,40.18879318237305,
5,215.91754150390625,0.47316014766693115,186.4651336669922,2.2192976757651195e-05,-2.2058007743908092e-05,9.9472017288208,102.384765625,0.12161121517419815,694.3609008789062,,39.95185852050781,
6,214.60317993164062,0.48618268966674805,182.45545959472656,2.5486559025011957e-05,-2.4410546757280827e-05,9.944646835327148,164.1433868408203,0.12223582714796066,792.68212890625,,39.175048828125,
7,224.4055938720703,0.558205783367157,181.83924865722656,2.4142984329955652e-05,-2.3260949092218652e-05,9.859557151794434,95.72869110107422,0.13512900471687317,749.831787109375,,39.874629974365234,
8,235.53140258789062,0.45957130193710327,186.2450408935547,2.6078681912622415e-05,-2.6114566935575567e-05,9.945197105407715,96.60871124267578,0.11725380271673203,903.632568359375,,39.376060485839844,
9,241.46395874023438,0.4990445077419281,189.94041442871094,2.8550633942359127e-05,-2.8542266591102816e-05,9.855466842651367,131.33224487304688,0.12770652770996094,746.3605346679688,,39.156429290771484,
10,246.30523681640625,0.6252736449241638,190.4462890625,3.5062621464021504e-05,-3.501223909552209e-05,9.724632263183594,70.70420837402344,0.15684626996517181,840.2886352539062,,38.74656677246094,
11,245.56617736816406,0.5474158525466919,188.65557861328125,2.7687630790751427e-05,-2.6945865101879463e-05,9.811777114868164,1330.494873046875,0.13422133028507233,662.8236083984375,,38.83401870727539,
12,262.1324462890625,0.6930193305015564,185.88650512695312,2.39461223827675e-05,-2.419471275061369e-05,9.589120864868164,881.4813232421875,0.1419222205877304,635.02978515625,,38.53987121582031,
13,306.6786193847656,1.2850069999694824,189.46212768554688,2.594619036244694e-05,-2.6582283680909313e-05,8.935620307922363,407.37933349609375,0.21897141635417938,661.2362060546875,,36.244789123535156,
14,452.44451904296875,9.636609077453613,190.3543243408203,0.00014773353177588433,-0.00014888803707435727,7.083199977874756,373.9321594238281,1.3001558780670166,1134.295654296875,,20.10072135925293,
15,622.6813354492188,14.885702133178711,179.04205322265625,0.00016500847414135933,-0.00016857331502251327,6.477950096130371,10005.0244140625,1.5828087329864502,984.2514038085938,,17.9769287109375,
16,1187.930419921875,18.365602493286133,178.68194580078125,7.141636888263747e-05,-7.221884152386338e-05,6.372030258178711,2505.4736328125,1.565278172492981,940.9663696289062,,19.594175338745117,
17,1451.71240234375,28.416866302490234,178.36990356445312,6.641807703999802e-05,-6.132398266345263e-05,5.777660369873047,16443.73046875,2.1554291248321533,1035.73388671875,,17.534151077270508,
18,2200.859375,32.77532196044922,163.95887756347656,8.428844012087211e-05,-8.575797983212397e-05,5.624852657318115,10669.466796875,2.3475565910339355,949.7906494140625,,23.246557235717773,
19,2483.357666015625,23.860191345214844,170.94085693359375,6.302394467638806e-05,-6.44439278403297e-05,6.077967643737793,798.2553100585938,1.8126624822616577,1155.220703125,,23.932947158813477,
20,1649.0035400390625,2.83449387550354,171.31346130371094,5.20940448041074e-05,-5.662650437443517e-05,8.4957857131958,3247.776123046875,0.4433023929595947,852.2755737304688,,28.638492584228516,
21,1845.57470703125,11.910202980041504,196.53656005859375,6.67447384330444e-05,-6.739949458278716e-05,7.553293228149414,2714.697021484375,1.0197829008102417,1118.3458251953125,,26.31090545654297,
22,755.1460571289062,8.903816223144531,62.34991455078125,0.000949113629758358,0.0006121566402725875,11.441001892089844,307.3968200683594,5.480975151062012,3279.206298828125,,25.303333282470703,
23,215.95999145507812,0.9036478996276855,185.03436279296875,8.023705595405772e-05,1.0779405783978291e-05,9.635213851928711,134.3153076171875,0.37993597984313965,819.6761474609375,,39.40395736694336,
